pnum	target_location	rt_space	rt_click	correct	background
003	3	1.863181e+01	6.789648e+00	1	practice
003	7	2.261433e+01	1.613158e+00	1	practice
003	8	2.794879e+01	1.391240e+00	1	practice
003	6	4.082164e+01	3.654239e+00	0	practice
003	1	7.019159e+00	1.437503e+00	1	practice
003	5	7.779829e+00	1.717439e+00	1	practice
003	2	6.721131e+00	1.383098e+00	1	practice
003	4	1.418487e+00	1.293958e+00	1	practice
003	1	3.355565e+01	1.349820e+00	1	background9.jpg
003	7	4.023185e+01	1.398558e+00	1	background9.jpg
003	2	4.358715e+01	1.320786e+00	1	background9.jpg
003	3	1.702207e+00	1.551446e+00	1	background9.jpg
003	6	1.263710e+01	1.447429e+00	1	background9.jpg
003	5	2.295482e+00	1.496280e+00	1	background9.jpg
003	8	4.457046e+00	1.128311e+00	1	background9.jpg
003	4	6.698300e+00	1.334103e+00	1	background9.jpg
003	8	4.686402e+00	1.951006e+00	1	background7.png
003	2	1.009591e+01	1.213497e+00	1	background7.png
003	1	1.512848e+00	1.167085e+00	1	background7.png
003	5	3.976902e+00	1.408340e+00	1	background7.png
003	7	8.644962e+00	1.581678e+00	1	background7.png
003	6	2.402758e+00	1.031231e+00	1	background7.png
003	4	3.740116e+00	1.230758e+00	1	background7.png
003	3	1.911067e+01	1.237846e+00	1	background7.png
003	7	1.888649e+00	1.198806e+00	1	background5.jpeg
003	5	1.733890e+00	1.094302e+00	1	background5.jpeg
003	6	1.322146e+01	1.096889e+00	1	background5.jpeg
003	8	7.635810e+00	1.247018e+00	1	background5.jpeg
003	3	4.063839e+00	1.239312e+00	1	background5.jpeg
003	1	5.273889e+00	1.189443e+00	1	background5.jpeg
003	2	9.504022e+00	1.280469e+00	1	background5.jpeg
003	4	5.403861e+00	1.301823e+00	1	background5.jpeg
003	5	3.812759e+00	1.351896e+00	1	background10.jpg
003	2	4.064750e+00	1.294653e+00	1	background10.jpg
003	4	5.460843e+00	1.135325e+00	1	background10.jpg
003	1	4.564609e+00	1.263786e+00	1	background10.jpg
003	8	1.241040e+00	1.016156e+00	1	background10.jpg
003	6	4.043107e+00	1.109771e+00	1	background10.jpg
003	3	7.251769e+00	9.764450e-01	1	background10.jpg
003	7	4.557487e+00	1.597686e+00	1	background10.jpg
003	1	3.713947e+00	1.334454e+00	1	background2.jpeg
003	8	1.187344e+01	1.118563e+00	1	background2.jpeg
003	2	4.794779e+00	1.455760e+00	1	background2.jpeg
003	5	5.384201e+01	1.797215e+00	1	background2.jpeg
003	3	1.061008e+01	1.639743e+00	1	background2.jpeg
003	4	1.408274e+00	8.011842e-01	1	background2.jpeg
003	6	2.476056e+01	1.216557e+00	1	background2.jpeg
003	7	1.922802e+00	9.910619e-01	1	background2.jpeg
003	6	4.296708e-02	1.011909e+02	0	background4.jpeg
003	1	4.444455e+00	1.565571e+00	1	background4.jpeg
003	7	6.123436e+00	1.992554e+00	1	background4.jpeg
003	2	5.268505e+00	1.741611e+00	1	background4.jpeg
003	3	1.436221e+00	1.687896e+00	1	background4.jpeg
003	4	1.309428e+00	1.294780e+00	1	background4.jpeg
003	5	4.955325e+00	1.599518e+00	1	background4.jpeg
003	8	2.331266e+00	1.103519e+00	1	background4.jpeg
003	1	3.576797e+00	1.231369e+00	1	background1.jpeg
003	6	6.705887e+00	1.086980e+00	1	background1.jpeg
003	7	6.169690e+00	1.181676e+00	1	background1.jpeg
003	4	1.010930e+00	1.198815e+00	1	background1.jpeg
003	5	8.828112e+00	1.423348e+00	1	background1.jpeg
003	3	6.661479e+00	1.301361e+00	1	background1.jpeg
003	2	1.141869e+00	1.190612e+00	1	background1.jpeg
003	8	5.634380e+00	1.223581e+00	1	background1.jpeg
003	3	4.068163e+00	1.360208e+00	1	background8.jpg
003	8	3.704977e+00	1.117777e+00	1	background8.jpg
003	7	1.210242e+00	1.054700e+00	1	background8.jpg
003	4	9.843090e-01	1.047250e+00	1	background8.jpg
003	2	1.036265e+00	9.423661e-01	1	background8.jpg
003	1	8.006260e-01	1.311051e+00	1	background8.jpg
003	5	4.925125e+00	1.440046e+00	1	background8.jpg
003	6	3.474924e+00	1.207472e+00	1	background8.jpg
003	2	2.283581e+00	1.127565e+00	1	background6.png
003	6	1.116509e+00	1.023317e+00	1	background6.png
003	7	9.333371e+00	1.101209e+00	1	background6.png
003	8	2.284493e+00	1.080077e+00	1	background6.png
003	5	3.149379e+00	1.423200e+00	1	background6.png
003	3	4.228672e+00	1.078958e+00	1	background6.png
003	4	9.538651e-01	9.838231e-01	1	background6.png
003	1	3.879656e+00	1.303355e+00	1	background6.png
