pnum	target_location	rt_space	rt_click	correct	background
004	5	6.841675e+00	2.663436e+00	1	practice
004	4	1.295056e+01	2.015160e+00	1	practice
004	2	1.143591e+01	1.727798e+00	1	practice
004	8	1.360233e+01	1.798917e+00	1	practice
004	7	9.351073e+00	1.631252e+00	1	practice
004	3	2.833081e+00	1.928229e+00	1	practice
004	6	3.439270e+00	1.839799e+00	1	practice
004	1	1.389363e+00	1.689146e+00	1	practice
004	7	1.067155e+01	1.958426e+00	1	background5.jpeg
004	8	1.264113e+00	1.576104e+00	1	background5.jpeg
004	6	3.528052e+00	1.247206e+00	1	background5.jpeg
004	2	8.905733e+00	1.622350e+00	1	background5.jpeg
004	3	2.607855e+00	1.688632e+00	1	background5.jpeg
004	5	4.265421e+00	1.720198e+00	1	background5.jpeg
004	4	2.840003e+00	1.520125e+00	1	background5.jpeg
004	1	1.876161e+00	1.622661e+00	1	background5.jpeg
004	2	2.453084e+00	1.966627e+00	1	background2.jpeg
004	4	2.606435e+01	2.039388e+00	1	background2.jpeg
004	8	7.036782e+00	1.135583e+00	1	background2.jpeg
004	3	2.225508e+00	1.304911e+00	1	background2.jpeg
004	7	4.564021e+00	1.280150e+00	1	background2.jpeg
004	6	1.739231e+01	1.631254e+00	1	background2.jpeg
004	1	2.025890e+01	1.373482e+00	1	background2.jpeg
004	5	1.249245e+01	1.895860e+00	1	background2.jpeg
004	3	2.216247e+00	1.976251e+00	1	background7.png
004	1	2.197690e+00	1.485120e+00	1	background7.png
004	4	2.195415e+01	1.794115e+00	1	background7.png
004	6	8.436207e+00	1.921648e+00	1	background7.png
004	5	2.711600e+01	1.847206e+00	1	background7.png
004	2	2.131485e+01	1.461808e+00	1	background7.png
004	8	7.488937e+00	1.593785e+00	1	background7.png
004	7	8.980352e+00	1.776059e+00	1	background7.png
004	2	3.212471e+00	1.400047e+00	1	background6.png
004	8	1.691897e+00	1.310691e+00	1	background6.png
004	4	7.936533e+00	1.591421e+00	1	background6.png
004	6	5.345562e+00	1.527645e+00	1	background6.png
004	3	2.476945e+00	1.486308e+00	1	background6.png
004	1	7.969681e+00	1.481847e+00	1	background6.png
004	7	3.524980e+00	1.798935e+00	1	background6.png
004	5	2.600377e+00	1.525740e+00	1	background6.png
004	3	2.243542e+00	1.646959e+00	1	background1.jpeg
004	4	1.422125e+00	1.607064e+00	1	background1.jpeg
004	5	3.647338e+00	1.479142e+00	1	background1.jpeg
004	6	1.409589e+01	1.872624e+00	1	background1.jpeg
004	1	2.198374e+00	1.999048e+00	1	background1.jpeg
004	8	1.943857e+01	1.975420e+00	1	background1.jpeg
004	2	1.434781e+00	1.831788e+00	1	background1.jpeg
004	7	5.318255e+00	1.600317e+00	1	background1.jpeg
004	1	1.319401e+01	1.416693e+00	1	background9.jpg
004	7	5.302249e+00	2.117365e+00	1	background9.jpg
004	2	1.195999e+00	1.566714e+00	1	background9.jpg
004	4	1.665637e+00	1.417203e+00	1	background9.jpg
004	8	1.312048e+01	1.631879e+00	1	background9.jpg
004	3	1.585547e+00	1.872658e+00	1	background9.jpg
004	6	3.836222e+01	2.253662e+00	1	background9.jpg
004	5	5.213289e+01	1.791736e+00	1	background9.jpg
004	1	1.151333e+00	1.854877e+00	1	background4.jpeg
004	4	1.366575e+00	1.760171e+00	1	background4.jpeg
004	3	1.798771e+00	1.645206e+00	1	background4.jpeg
004	6	6.038228e+00	1.789226e+00	1	background4.jpeg
004	8	8.721747e+00	1.558645e+00	1	background4.jpeg
004	5	3.201410e+00	1.710795e+00	1	background4.jpeg
004	7	3.640631e+00	1.790697e+00	1	background4.jpeg
004	2	3.617287e+00	1.638483e+00	1	background4.jpeg
004	3	1.338382e+00	1.575302e+00	1	background8.jpg
004	5	4.017893e+00	1.693637e+00	1	background8.jpg
004	6	1.455505e+00	1.343795e+00	1	background8.jpg
004	7	5.113487e+00	1.623677e+00	1	background8.jpg
004	4	4.770064e+00	1.725677e+00	1	background8.jpg
004	2	1.333343e+00	1.326234e+00	1	background8.jpg
004	8	1.904251e+00	1.560450e+00	1	background8.jpg
004	1	1.311952e+00	1.656586e+00	1	background8.jpg
004	3	3.286701e+00	1.399741e+00	1	background10.jpg
004	1	1.354941e+00	1.702214e+00	1	background10.jpg
004	6	5.608652e+00	1.655781e+00	1	background10.jpg
004	5	8.994897e+00	1.445505e+00	1	background10.jpg
004	8	1.177426e+00	1.997232e+00	1	background10.jpg
004	7	1.312971e+00	1.481264e+00	1	background10.jpg
004	4	2.334687e+00	1.084967e+00	1	background10.jpg
004	2	2.804019e+00	8.583041e+00	0	background10.jpg
