pnum	target_location	rt_space	rt_click	correct	background
015	5	1.576342e+01	4.126901e+00	1	practice
015	4	3.757909e+00	3.239248e+00	1	practice
015	2	3.551269e+01	3.558613e+00	1	practice
015	8	8.958520e+00	3.135711e+00	1	practice
015	7	3.897512e+00	3.054397e+00	1	practice
015	3	1.149922e+01	3.097600e+00	1	practice
015	6	2.022189e+00	2.910616e+00	1	practice
015	1	5.992725e+00	2.481213e+00	1	practice
015	7	1.404531e+01	2.768851e+00	1	background5.jpeg
015	8	3.860322e+00	2.150701e+00	1	background5.jpeg
015	6	1.977792e+00	2.501808e+00	1	background5.jpeg
015	2	1.502215e+01	1.998249e+00	1	background5.jpeg
015	3	1.470619e+01	1.510583e+00	1	background5.jpeg
015	5	1.054955e+01	2.175901e+00	1	background5.jpeg
015	4	2.481434e+00	1.848231e+00	1	background5.jpeg
015	1	5.062406e+00	1.767098e+00	1	background5.jpeg
015	2	6.946444e+00	2.462921e+00	1	background2.jpeg
015	4	2.890935e+01	2.150844e+00	1	background2.jpeg
015	8	5.188746e+00	2.136228e+00	1	background2.jpeg
015	3	7.146836e+00	2.222870e+00	1	background2.jpeg
015	7	9.918010e+00	2.286263e+00	1	background2.jpeg
015	6	5.206173e+00	2.246362e+00	1	background2.jpeg
015	1	1.261868e+01	2.599347e+00	1	background2.jpeg
015	5	6.079548e+00	2.304009e+00	1	background2.jpeg
015	3	1.288933e+01	8.849139e+00	0	background7.png
015	1	8.565549e+00	2.072295e+00	1	background7.png
015	4	7.575462e+00	2.375455e+00	1	background7.png
015	6	5.230656e+00	1.997989e+00	1	background7.png
015	5	8.780141e+00	2.345738e+00	1	background7.png
015	2	3.602492e+00	1.887908e+00	1	background7.png
015	8	4.269428e+00	1.855884e+00	1	background7.png
015	7	2.203004e+00	1.583360e+00	1	background7.png
015	2	4.617908e+00	2.094921e+00	1	background6.png
015	8	3.248361e+00	1.573938e+00	1	background6.png
015	4	2.634698e+00	2.134808e+00	1	background6.png
015	6	1.842862e+00	1.487180e+00	1	background6.png
015	3	1.966428e+00	1.743500e+00	1	background6.png
015	1	2.977716e+00	2.439131e+00	1	background6.png
015	7	4.050863e+00	2.039855e+00	1	background6.png
015	5	4.974552e+00	1.689263e+00	1	background6.png
015	3	3.787794e+00	2.271263e+00	1	background1.jpeg
015	4	1.454147e+00	1.654865e+00	1	background1.jpeg
015	5	2.009120e+00	1.663122e+00	1	background1.jpeg
015	6	1.690507e+00	1.586137e+00	1	background1.jpeg
015	1	3.582557e+00	1.757995e+00	1	background1.jpeg
015	8	3.349739e+00	1.894729e+00	1	background1.jpeg
015	2	3.989496e+00	1.719403e+00	1	background1.jpeg
015	7	5.962945e+00	1.481121e+00	1	background1.jpeg
015	1	6.847883e+00	1.877799e+00	1	background9.jpg
015	7	1.705648e+00	2.110810e+00	1	background9.jpg
015	2	3.838294e+00	1.679329e+00	1	background9.jpg
015	4	2.716416e+00	2.015634e+00	1	background9.jpg
015	8	4.648286e+00	2.583165e+00	1	background9.jpg
015	3	4.216638e+00	2.183006e+00	1	background9.jpg
015	6	1.525705e+01	1.823273e+00	1	background9.jpg
015	5	4.006861e+01	1.957199e+00	1	background9.jpg
015	1	2.929340e+00	2.663962e+00	1	background4.jpeg
015	4	1.576304e+00	2.158817e+00	1	background4.jpeg
015	3	2.181825e+00	2.174688e+00	1	background4.jpeg
015	6	1.621395e+00	2.006873e+00	1	background4.jpeg
015	8	2.516474e+00	1.933457e+00	1	background4.jpeg
015	5	2.015491e+00	1.926969e+00	1	background4.jpeg
015	7	2.008458e+00	1.568254e+00	1	background4.jpeg
015	2	2.101032e+00	2.151119e+00	1	background4.jpeg
015	3	3.032664e+00	1.366022e+00	1	background8.jpg
015	5	4.328915e+00	1.686178e+00	1	background8.jpg
015	6	1.488395e+00	1.743489e+00	1	background8.jpg
015	7	1.488056e+00	1.360029e+00	1	background8.jpg
015	4	2.069023e+00	2.383580e+00	1	background8.jpg
015	2	1.709935e+00	2.089649e+00	1	background8.jpg
015	8	1.645535e+00	2.144205e+00	1	background8.jpg
015	1	1.387286e+00	2.377256e+00	1	background8.jpg
015	3	8.996302e+00	2.005784e+00	1	background10.jpg
015	1	4.787956e+00	2.166449e+00	1	background10.jpg
015	6	5.072337e+00	2.205208e+00	1	background10.jpg
015	5	1.694602e+01	2.109882e+00	1	background10.jpg
015	8	1.840538e+00	2.647999e+00	1	background10.jpg
015	7	1.736594e+00	1.742947e+00	1	background10.jpg
015	4	3.716471e+00	2.287482e+00	1	background10.jpg
015	2	1.603926e+00	2.256260e+00	1	background10.jpg
