pnum	target_location	rt_space	rt_click	correct	background
019	5	6.936739e+00	2.407019e+00	1	practice
019	8	5.948220e+01	1.974180e+00	1	practice
019	6	2.845846e+01	1.783439e+00	1	practice
019	4	1.075571e+01	2.383170e+00	1	practice
019	1	2.938732e+00	2.070866e+00	1	practice
019	2	1.629029e+00	1.918673e+00	1	practice
019	3	1.514847e+00	1.830108e+00	1	practice
019	7	3.251483e+00	2.119786e+00	1	practice
019	8	4.393653e+00	1.502441e+00	1	background1.jpeg
019	4	1.889789e+00	1.879600e+00	1	background1.jpeg
019	6	3.701122e+00	1.645854e+00	1	background1.jpeg
019	5	1.912911e+01	1.975726e+00	1	background1.jpeg
019	2	1.383690e+00	1.967271e+00	1	background1.jpeg
019	1	2.263210e+00	1.583678e+00	1	background1.jpeg
019	7	1.376734e+01	1.646094e+00	1	background1.jpeg
019	3	1.603991e+00	1.967145e+00	1	background1.jpeg
019	4	1.565865e+00	1.637414e+00	1	background4.jpeg
019	6	2.850143e+00	1.885219e+00	1	background4.jpeg
019	5	2.280611e+00	1.679621e+00	1	background4.jpeg
019	8	1.839035e+00	1.750725e+00	1	background4.jpeg
019	1	5.046881e+00	1.798698e+00	1	background4.jpeg
019	7	7.525794e+00	1.335550e+00	1	background4.jpeg
019	2	1.253516e+00	2.110623e+00	1	background4.jpeg
019	3	1.636367e+00	1.801019e+00	1	background4.jpeg
019	5	8.716702e+00	1.694976e+00	1	background8.jpg
019	4	1.619867e+00	1.662506e+00	1	background8.jpg
019	2	2.406134e+00	2.125631e+00	1	background8.jpg
019	3	1.576674e+00	1.422749e+00	1	background8.jpg
019	8	1.501296e+00	1.679011e+00	1	background8.jpg
019	7	2.535127e+00	1.509223e+00	1	background8.jpg
019	6	2.136055e+00	1.527427e+00	1	background8.jpg
019	1	3.630553e+00	2.335415e+00	1	background8.jpg
019	7	2.787673e+00	1.552341e+00	1	background10.jpg
019	1	2.750393e+00	1.717574e+00	1	background10.jpg
019	8	1.811699e+00	1.736177e+00	1	background10.jpg
019	4	1.810267e+00	1.438486e+00	1	background10.jpg
019	6	1.770881e+00	2.265081e+00	1	background10.jpg
019	5	2.246980e+01	1.534262e+00	1	background10.jpg
019	3	1.640304e+00	1.527917e+00	1	background10.jpg
019	2	1.897121e+00	2.446457e+00	1	background10.jpg
019	5	2.872315e+00	1.687420e+00	1	background6.png
019	1	1.252997e+00	1.519505e+00	1	background6.png
019	2	2.163648e+00	1.536458e+00	1	background6.png
019	3	2.564923e+00	1.342245e+00	1	background6.png
019	4	6.926595e+00	2.374853e+00	1	background6.png
019	8	2.264311e+01	1.806960e+00	1	background6.png
019	6	7.619639e+00	1.734039e+00	1	background6.png
019	7	2.435390e+00	1.208137e+00	1	background6.png
019	5	1.421724e+01	1.678686e+00	1	background2.jpeg
019	8	8.954561e+00	1.975175e+00	1	background2.jpeg
019	2	3.400059e+00	1.805712e+00	1	background2.jpeg
019	4	7.937767e+00	1.230334e+00	1	background2.jpeg
019	7	4.192697e+00	1.278333e+00	1	background2.jpeg
019	1	2.353029e+00	1.622776e+00	1	background2.jpeg
019	6	6.376983e+00	1.686326e+00	1	background2.jpeg
019	3	1.543938e+00	1.423676e+00	1	background2.jpeg
019	7	2.437921e+00	1.440191e+00	1	background7.png
019	2	2.279154e+01	1.335490e+00	1	background7.png
019	3	4.208061e+00	1.790777e+00	1	background7.png
019	8	5.677816e+01	1.958182e+00	1	background7.png
019	1	2.281401e+00	2.021694e+00	1	background7.png
019	6	3.363071e+00	1.334388e+00	1	background7.png
019	4	1.616018e+01	1.448673e+00	1	background7.png
019	5	2.940128e+00	1.207010e+00	1	background7.png
019	3	3.619688e+00	1.375330e+00	1	background9.jpg
019	4	1.706783e+00	1.166347e+00	1	background9.jpg
019	5	3.623692e+01	1.621637e+00	1	background9.jpg
019	1	3.027791e+00	1.712612e+00	1	background9.jpg
019	8	1.242278e+01	1.159528e+00	1	background9.jpg
019	6	1.845235e+01	1.264658e+00	1	background9.jpg
019	7	1.763546e+01	1.312082e+00	1	background9.jpg
019	2	3.655353e+00	1.526758e+00	1	background9.jpg
019	7	3.616322e+00	1.463910e+00	1	background5.jpeg
019	5	1.373729e+01	1.624852e+00	1	background5.jpeg
019	3	1.723714e+00	1.672904e+00	1	background5.jpeg
019	8	8.802378e+00	4.190541e+00	1	background5.jpeg
019	1	7.551640e+00	1.832272e+00	1	background5.jpeg
019	2	1.849817e+00	1.654319e+00	1	background5.jpeg
019	6	7.704715e+00	1.960052e+00	1	background5.jpeg
019	4	1.817172e+00	1.381119e+00	1	background5.jpeg
