pnum	target_location	rt_space	rt_click	correct	background
016	7	1.071867e+01	2.280586e+00	1	practice
016	2	2.454677e+01	1.655015e+00	1	practice
016	8	4.666729e+01	2.670585e+00	1	practice
016	5	1.826017e+01	1.286765e+00	1	practice
016	6	1.707897e+01	1.474908e+00	1	practice
016	4	9.351759e+00	1.302345e+00	1	practice
016	1	4.614405e+00	1.454284e+00	1	practice
016	3	9.593156e+00	1.599817e+00	1	practice
016	5	3.083193e+00	3.769086e+00	0	background7.png
016	4	7.497558e+00	1.541265e+00	1	background7.png
016	8	2.166959e+00	1.301924e+00	1	background7.png
016	2	9.812059e+00	1.381797e+00	1	background7.png
016	6	2.265781e+00	1.216363e+00	1	background7.png
016	1	4.741713e+00	1.126629e+00	1	background7.png
016	7	1.044754e+01	1.885231e+00	1	background7.png
016	3	4.793450e+00	1.175400e+00	1	background7.png
016	7	4.857195e+00	1.807984e+00	1	background4.jpeg
016	5	3.584381e+00	1.598470e+00	1	background4.jpeg
016	8	7.025823e+00	1.319819e+00	1	background4.jpeg
016	3	2.140900e+00	1.366207e+00	1	background4.jpeg
016	4	5.573035e+00	1.745277e+00	1	background4.jpeg
016	6	1.777791e+00	1.102761e+00	1	background4.jpeg
016	2	1.641218e+00	1.391434e+00	1	background4.jpeg
016	1	5.090435e+00	1.174773e+00	1	background4.jpeg
016	7	3.187377e+00	1.941940e+00	1	background8.jpg
016	1	1.391727e+00	1.279637e+00	1	background8.jpg
016	2	1.132600e+00	1.245436e+00	1	background8.jpg
016	5	2.951655e+00	1.071047e+00	1	background8.jpg
016	8	1.112895e+00	2.285947e+00	1	background8.jpg
016	4	3.453409e+00	1.566426e+00	1	background8.jpg
016	3	1.777135e+00	1.423755e+00	1	background8.jpg
016	6	2.864640e+00	1.063790e+00	1	background8.jpg
016	4	2.007193e+00	1.173280e+00	1	background9.jpg
016	1	4.352936e+00	1.455009e+00	1	background9.jpg
016	6	1.760138e+01	1.445528e+00	1	background9.jpg
016	5	1.128504e+01	1.008781e+00	1	background9.jpg
016	7	8.142791e+00	2.109657e+00	1	background9.jpg
016	8	9.580347e+00	1.287110e+00	1	background9.jpg
016	2	1.373154e+00	1.336074e+00	1	background9.jpg
016	3	3.232259e+00	1.342315e+00	1	background9.jpg
016	6	1.870698e+00	1.439158e+00	1	background6.png
016	5	1.892379e+00	1.333801e+00	1	background6.png
016	2	1.822883e+00	1.295773e+00	1	background6.png
016	7	1.549799e-01	2.712516e+00	0	background6.png
016	4	2.488756e+00	1.575529e+00	1	background6.png
016	3	1.691741e+01	1.525680e+00	1	background6.png
016	1	2.525791e+00	1.399139e+00	1	background6.png
016	8	6.157000e+00	2.343596e+00	0	background6.png
016	3	1.977655e+00	1.470774e+00	1	background1.jpeg
016	5	1.053598e+01	1.623438e+00	1	background1.jpeg
016	1	2.249634e+00	1.504251e+00	1	background1.jpeg
016	6	1.935930e+00	2.326921e+00	1	background1.jpeg
016	2	3.104030e+00	1.183293e+00	1	background1.jpeg
016	7	2.122046e+00	1.687589e+00	1	background1.jpeg
016	4	1.763836e+00	1.711744e+00	1	background1.jpeg
016	8	2.499656e+00	1.262865e+00	1	background1.jpeg
016	3	2.244969e+00	1.350668e+00	1	background2.jpeg
016	4	2.117030e+00	1.781779e+00	0	background2.jpeg
016	7	6.537615e+00	1.301709e+00	1	background2.jpeg
016	5	8.585001e+01	1.957147e+00	1	background2.jpeg
016	2	3.275240e+00	1.224338e+00	1	background2.jpeg
016	8	5.691294e+00	1.423328e+00	1	background2.jpeg
016	6	2.472459e+00	2.222364e+00	1	background2.jpeg
016	1	8.271856e+00	1.632430e+00	1	background2.jpeg
016	4	5.031598e+00	1.352747e+00	1	background5.jpeg
016	1	1.211824e+00	1.415813e+00	1	background5.jpeg
016	5	5.288379e+00	1.399367e+00	1	background5.jpeg
016	3	7.141675e+00	1.375994e+00	1	background5.jpeg
016	8	1.544230e+00	1.173736e+00	1	background5.jpeg
016	7	9.377681e+00	1.334846e+00	1	background5.jpeg
016	6	1.713803e+00	1.230449e+00	1	background5.jpeg
016	2	7.778825e+00	1.110515e+00	1	background5.jpeg
016	5	8.560001e+00	1.493641e+00	1	background10.jpg
016	8	1.699744e+01	1.293317e+00	1	background10.jpg
016	3	4.125741e+00	1.648305e+00	1	background10.jpg
016	2	1.166533e+00	1.118486e+00	1	background10.jpg
016	7	3.626251e+00	9.833820e-01	1	background10.jpg
016	6	2.082379e+00	9.021549e-01	1	background10.jpg
016	1	3.933989e+00	1.311296e+00	1	background10.jpg
016	4	2.440310e+00	1.303833e+00	1	background10.jpg
