pnum	target_location	rt_space	rt_click	correct	background
018	7	3.173885e+01	3.207194e+00	1	practice
018	2	6.065557e+01	2.441821e+00	1	practice
018	8	5.859804e+00	1.911491e+00	1	practice
018	5	5.241807e+00	2.336612e+00	1	practice
018	6	2.304810e+01	2.577976e+00	1	practice
018	4	3.960113e+00	1.805247e+00	1	practice
018	1	2.363689e+00	2.607667e+00	1	practice
018	3	2.547120e+00	2.286038e+00	1	practice
018	5	3.376610e+00	2.424131e+00	0	background7.png
018	4	7.764193e+00	2.551761e+00	1	background7.png
018	8	2.342225e+01	2.486394e+00	1	background7.png
018	2	1.218031e+01	2.205666e+00	1	background7.png
018	6	8.671522e+00	1.816424e+00	1	background7.png
018	1	2.188898e+00	2.063795e+00	1	background7.png
018	7	6.321578e+00	2.206677e+00	1	background7.png
018	3	3.770694e+00	1.830414e+00	1	background7.png
018	7	7.112014e+00	2.318274e+00	1	background4.jpeg
018	5	6.612182e+00	1.967115e+00	1	background4.jpeg
018	8	2.934115e+00	1.823292e+00	1	background4.jpeg
018	3	1.676378e+01	2.302763e+00	1	background4.jpeg
018	4	2.728058e+00	1.759189e+00	1	background4.jpeg
018	6	1.197673e+00	1.422586e+00	1	background4.jpeg
018	2	1.567549e+00	1.431262e+00	1	background4.jpeg
018	1	2.499310e+00	1.277960e+00	1	background4.jpeg
018	7	9.071042e+00	1.925584e+00	1	background8.jpg
018	1	1.549345e+00	1.725970e+00	1	background8.jpg
018	2	1.819360e+00	1.928441e+00	1	background8.jpg
018	5	2.864151e+00	1.638153e+00	1	background8.jpg
018	8	1.586265e+00	1.960463e+00	1	background8.jpg
018	4	3.263484e+00	1.799940e+00	1	background8.jpg
018	3	2.335938e+00	1.575219e+00	1	background8.jpg
018	6	2.094529e+00	1.703797e+00	1	background8.jpg
018	4	1.214433e+01	1.533643e+00	1	background9.jpg
018	1	2.687538e+00	2.126138e+00	1	background9.jpg
018	6	1.399237e+01	1.693417e+00	1	background9.jpg
018	5	3.741351e+00	1.630596e+00	1	background9.jpg
018	7	2.097766e+01	1.760676e+00	1	background9.jpg
018	8	2.459997e+00	1.454686e+00	1	background9.jpg
018	2	1.154238e+00	1.736273e+00	1	background9.jpg
018	3	1.034710e-01	2.038493e+00	0	background9.jpg
018	6	3.123781e+00	1.893901e+00	1	background6.png
018	5	3.248118e+00	1.517923e+00	1	background6.png
018	2	1.567808e+00	1.582821e+00	1	background6.png
018	7	4.456619e+00	1.533881e+00	1	background6.png
018	4	5.145454e+00	1.862166e+00	1	background6.png
018	3	3.855357e+00	1.413447e+00	1	background6.png
018	1	2.183985e+00	1.550965e+00	1	background6.png
018	8	1.586830e+00	1.606171e+00	1	background6.png
018	3	5.731965e+00	2.173913e+00	1	background1.jpeg
018	5	1.486998e+00	1.814222e+00	1	background1.jpeg
018	1	4.237436e+00	1.456393e+00	1	background1.jpeg
018	6	5.627551e+00	1.549765e+00	1	background1.jpeg
018	2	1.561503e+00	1.789688e+00	1	background1.jpeg
018	7	1.158637e+01	1.604941e+00	1	background1.jpeg
018	4	1.543837e+00	1.813669e+00	1	background1.jpeg
018	8	1.781623e+00	1.237981e+00	1	background1.jpeg
018	3	2.047347e+00	2.094935e+00	1	background2.jpeg
018	4	7.722895e+00	1.463664e+00	1	background2.jpeg
018	7	1.012212e+01	1.478103e+00	1	background2.jpeg
018	5	5.718972e+00	1.869913e+00	1	background2.jpeg
018	2	2.385672e+00	1.701783e+00	1	background2.jpeg
018	8	3.815329e+00	1.255146e+00	1	background2.jpeg
018	6	3.371276e+00	1.678382e+00	1	background2.jpeg
018	1	4.378852e+00	1.808281e+00	1	background2.jpeg
018	4	5.738914e+00	1.317605e+00	1	background5.jpeg
018	1	1.126046e+01	1.581987e+00	1	background5.jpeg
018	5	7.386227e+00	1.702095e+00	1	background5.jpeg
018	3	2.106682e+00	1.560212e+00	1	background5.jpeg
018	8	1.007334e+01	2.079146e+00	1	background5.jpeg
018	7	1.119770e+01	1.462007e+00	1	background5.jpeg
018	6	1.151119e+00	1.549801e+00	1	background5.jpeg
018	2	3.712352e+00	1.408132e+00	1	background5.jpeg
018	5	4.192424e+00	1.407397e+00	1	background10.jpg
018	8	1.729624e+00	1.600352e+00	1	background10.jpg
018	3	1.250165e+00	1.621013e+00	1	background10.jpg
018	2	1.157102e+00	1.173746e+00	1	background10.jpg
018	7	3.132304e+00	1.351338e+00	1	background10.jpg
018	6	6.644036e+00	1.910353e+00	1	background10.jpg
018	1	2.129328e+00	1.880121e+00	1	background10.jpg
018	4	1.839281e+00	1.645032e+00	1	background10.jpg
