pnum	target_location	rt_space	rt_click	correct	background
012	7	5.107419e+01	2.350882e+00	1	practice
012	2	3.136814e+00	1.616650e+00	1	practice
012	8	4.994955e+01	1.519630e+00	1	practice
012	5	7.097491e+00	1.391447e+00	1	practice
012	6	3.504552e+00	1.402804e+00	1	practice
012	4	1.357869e+00	1.512003e+00	1	practice
012	1	1.517636e+00	1.422438e+00	1	practice
012	3	1.266050e+00	1.503412e+00	1	practice
012	5	4.669359e+00	1.711972e+00	1	background7.png
012	4	5.926148e+00	1.366439e+00	1	background7.png
012	8	1.030963e+01	2.039520e+00	1	background7.png
012	2	1.903361e+00	1.664388e+00	1	background7.png
012	6	5.710084e+00	1.557973e+00	1	background7.png
012	1	1.616279e+00	1.478988e+00	1	background7.png
012	7	2.939617e+00	1.423645e+00	1	background7.png
012	3	5.052162e+00	1.551724e+00	1	background7.png
012	7	2.438218e+00	1.494243e+00	1	background4.jpeg
012	5	2.041191e+00	1.327644e+00	1	background4.jpeg
012	8	1.516789e+00	1.333188e+00	1	background4.jpeg
012	3	1.238230e+00	1.512198e+00	1	background4.jpeg
012	4	1.179916e+00	1.255854e+00	1	background4.jpeg
012	6	1.711306e+00	1.400783e+00	1	background4.jpeg
012	2	9.562361e-01	1.190200e+00	1	background4.jpeg
012	1	4.997901e+00	1.407725e+00	1	background4.jpeg
012	7	2.825271e+00	1.334971e+00	1	background8.jpg
012	1	2.485676e+00	1.446766e+00	1	background8.jpg
012	2	1.131979e+00	1.495771e+00	1	background8.jpg
012	5	5.815717e+00	1.543784e+00	1	background8.jpg
012	8	1.082690e+00	1.333729e+00	1	background8.jpg
012	4	1.257011e+00	1.318895e+00	1	background8.jpg
012	3	1.428614e+00	1.286955e+00	1	background8.jpg
012	6	4.237883e+00	1.549199e+00	1	background8.jpg
012	4	1.467617e+00	1.263738e+00	1	background9.jpg
012	1	1.894550e+01	1.215686e+00	1	background9.jpg
012	6	9.431488e+00	1.497790e+00	1	background9.jpg
012	5	4.316676e+00	1.406160e+00	1	background9.jpg
012	7	2.340067e+00	1.525141e+00	1	background9.jpg
012	8	1.287984e+00	1.278936e+00	1	background9.jpg
012	2	1.228876e+00	1.470289e+00	1	background9.jpg
012	3	1.770332e+00	1.390637e+00	1	background9.jpg
012	6	3.776887e+00	1.312556e+00	1	background6.png
012	5	1.931502e+00	1.527123e+00	1	background6.png
012	2	1.024892e+00	1.486620e+00	1	background6.png
012	7	2.762054e+00	1.630468e+00	1	background6.png
012	4	1.312087e+00	1.230346e+00	1	background6.png
012	3	1.799036e+00	1.328539e+00	1	background6.png
012	1	1.510505e+00	1.785247e+00	1	background6.png
012	8	1.177428e+00	1.367138e+00	1	background6.png
012	3	2.935664e+00	1.304474e+00	1	background1.jpeg
012	5	4.657169e+00	1.431137e+00	1	background1.jpeg
012	1	1.635855e+00	1.390934e+00	1	background1.jpeg
012	6	2.781366e+00	1.448244e+00	1	background1.jpeg
012	2	1.116787e+00	1.454393e+00	1	background1.jpeg
012	7	3.403498e+00	1.278896e+00	1	background1.jpeg
012	4	1.062707e+00	1.351200e+00	1	background1.jpeg
012	8	2.442230e+00	1.342743e+00	1	background1.jpeg
012	3	1.935967e+00	1.464899e+00	1	background2.jpeg
012	4	1.650305e+00	1.222976e+00	1	background2.jpeg
012	7	5.009607e+01	1.879298e+00	1	background2.jpeg
012	5	3.747099e+00	1.646540e+00	1	background2.jpeg
012	2	1.455013e+01	1.335262e+00	1	background2.jpeg
012	8	7.626564e+00	1.270250e+00	1	background2.jpeg
012	6	6.134830e+00	1.654541e+00	1	background2.jpeg
012	1	5.251621e+00	1.304102e+00	1	background2.jpeg
012	4	1.330202e+00	1.376231e+00	1	background5.jpeg
012	1	1.486186e+00	1.470305e+00	1	background5.jpeg
012	5	1.872563e+01	1.423647e+00	1	background5.jpeg
012	3	8.998099e+00	1.127165e+00	1	background5.jpeg
012	8	3.427769e+00	1.406372e+00	1	background5.jpeg
012	7	2.013004e+00	1.198928e+00	1	background5.jpeg
012	6	9.501090e-01	1.325345e+00	1	background5.jpeg
012	2	1.206596e+00	1.318493e+00	1	background5.jpeg
012	5	3.346652e+00	1.383591e+00	1	background10.jpg
012	8	1.085665e+00	1.289541e+00	1	background10.jpg
012	3	1.291610e+00	1.222450e+00	1	background10.jpg
012	2	9.473600e-01	1.509892e+00	1	background10.jpg
012	7	1.775273e+00	1.422741e+00	1	background10.jpg
012	6	1.112140e+00	1.437586e+00	1	background10.jpg
012	1	1.530160e+00	1.631154e+00	1	background10.jpg
012	4	2.376461e+00	1.401284e+00	1	background10.jpg
