pnum	target_location	rt_space	rt_click	correct	background
017	1	2.889900e+01	1.712149e+00	1	practice
017	3	1.138870e+01	1.893934e+00	1	practice
017	7	5.216370e+00	2.071291e+00	1	practice
017	5	9.109260e+00	1.912605e+00	1	practice
017	2	1.490347e+01	1.958787e+00	1	practice
017	6	1.955372e+00	1.623922e+00	1	practice
017	8	5.573243e+00	1.431204e+00	1	practice
017	4	1.600268e+00	1.400450e+00	1	practice
017	6	2.582741e+00	1.294124e+00	1	background4.jpeg
017	7	6.735401e+00	1.965276e+00	1	background4.jpeg
017	1	2.071256e+00	1.294208e+00	1	background4.jpeg
017	5	2.075569e+00	1.703419e+00	1	background4.jpeg
017	2	4.735697e+00	1.446679e+00	1	background4.jpeg
017	3	4.140788e+00	1.376743e+00	1	background4.jpeg
017	4	2.325717e+00	1.213908e+00	1	background4.jpeg
017	8	2.875049e+00	2.055192e+00	1	background4.jpeg
017	5	1.597007e+01	2.222881e+00	1	background2.jpeg
017	7	6.569356e+01	2.005215e+00	1	background2.jpeg
017	1	2.528442e+01	1.534613e+00	1	background2.jpeg
017	6	2.010653e+02	1.518439e+00	1	background2.jpeg
017	3	1.881187e+01	1.622080e+00	1	background2.jpeg
017	2	1.037141e+01	2.135361e+00	1	background2.jpeg
017	8	2.242218e+00	1.406071e+00	1	background2.jpeg
017	4	3.532994e+00	1.685826e+00	1	background2.jpeg
017	1	3.006102e+00	1.429228e+00	1	background8.jpg
017	5	4.602256e+00	1.397129e+00	1	background8.jpg
017	7	6.244394e+00	1.854779e+00	1	background8.jpg
017	6	1.304723e+00	1.768552e+00	1	background8.jpg
017	2	1.252871e+00	1.599390e+00	1	background8.jpg
017	8	1.062081e+00	1.575120e+00	1	background8.jpg
017	3	2.091925e+00	1.232215e+00	1	background8.jpg
017	4	1.638484e+00	1.453065e+00	1	background8.jpg
017	6	9.353122e+00	1.878299e+00	1	background10.jpg
017	5	2.034950e+00	1.711074e+00	1	background10.jpg
017	3	5.180275e+00	1.677430e+00	1	background10.jpg
017	4	2.277386e+00	1.270281e+00	1	background10.jpg
017	1	3.418756e+00	1.557714e+00	1	background10.jpg
017	8	7.789167e+00	1.457101e+00	1	background10.jpg
017	7	1.826877e+00	1.517567e+00	1	background10.jpg
017	2	2.867038e+00	1.247271e+00	1	background10.jpg
017	8	4.972753e+00	1.615892e+00	1	background5.jpeg
017	2	5.900450e+00	1.494359e+00	1	background5.jpeg
017	5	8.842550e+00	1.648049e+00	1	background5.jpeg
017	7	8.328866e+00	2.112669e+00	1	background5.jpeg
017	6	1.347041e+00	1.783629e+00	1	background5.jpeg
017	1	2.447334e+00	1.837628e+00	1	background5.jpeg
017	4	2.843703e+00	1.629782e+00	1	background5.jpeg
017	3	1.660176e+00	1.478909e+00	1	background5.jpeg
017	6	1.308349e+00	1.589833e+00	1	background1.jpeg
017	2	3.193742e+00	1.551948e+00	1	background1.jpeg
017	3	2.269129e+00	1.781107e+00	1	background1.jpeg
017	1	1.371727e+00	1.678478e+00	1	background1.jpeg
017	4	1.725272e+00	1.751628e+00	1	background1.jpeg
017	5	4.414846e+00	1.584138e+00	1	background1.jpeg
017	7	9.344893e+00	1.537209e+00	1	background1.jpeg
017	8	2.246994e+00	1.415587e+00	1	background1.jpeg
017	6	4.644312e+00	1.808656e+00	1	background9.jpg
017	3	2.046457e+00	1.686378e+00	1	background9.jpg
017	5	1.791146e+01	1.910513e+00	1	background9.jpg
017	8	5.126628e+00	1.863027e+00	1	background9.jpg
017	2	1.369555e+00	1.933939e+00	1	background9.jpg
017	1	6.857307e+00	1.225087e+00	1	background9.jpg
017	7	1.189544e+01	1.822217e+00	1	background9.jpg
017	4	4.513649e+00	1.911241e+00	1	background9.jpg
017	8	2.016129e+00	1.222198e+00	1	background6.png
017	3	2.373348e+00	1.645319e+00	1	background6.png
017	4	2.150922e+01	1.800825e+00	1	background6.png
017	1	4.930288e+00	1.431214e+00	1	background6.png
017	2	7.268704e+00	1.742986e+00	1	background6.png
017	7	2.737770e+00	1.758950e+00	1	background6.png
017	5	3.600505e+00	1.796950e+00	1	background6.png
017	6	1.340772e+00	1.464741e+00	1	background6.png
017	4	2.767810e+01	1.526856e+00	1	background7.png
017	5	1.920745e+01	1.640119e+00	1	background7.png
017	6	6.901741e+00	1.806589e+00	1	background7.png
017	1	2.780983e+00	1.662992e+00	1	background7.png
017	2	8.179113e+00	1.591088e+00	1	background7.png
017	7	1.779046e+01	1.758333e+00	1	background7.png
017	8	1.175443e+01	1.806013e+00	1	background7.png
017	3	1.103996e+01	1.736439e+00	1	background7.png
