pnum	target_location	rt_space	rt_click	correct	background
013	1	1.593504e+01	2.118589e+00	1	practice
013	3	4.474584e+01	1.552310e+00	1	practice
013	7	1.952780e+01	1.848767e+00	1	practice
013	5	3.786450e+01	2.486771e+00	1	practice
013	2	4.289588e+01	1.486925e+00	1	practice
013	6	1.773836e+01	1.606245e+00	1	practice
013	8	1.627150e+01	1.460982e+00	1	practice
013	4	1.509736e+01	1.944333e+00	1	practice
013	6	3.061686e+00	1.664182e+00	0	background4.jpeg
013	7	2.577605e+01	1.341408e+00	0	background4.jpeg
013	1	2.690587e+00	1.328371e+00	0	background4.jpeg
013	5	9.212012e+00	1.872849e+00	1	background4.jpeg
013	2	2.136121e+00	1.455518e+00	1	background4.jpeg
013	3	4.598841e+01	1.318935e+00	1	background4.jpeg
013	4	1.139266e+01	1.089991e+02	0	background4.jpeg
013	8	9.773320e+00	1.472393e+00	1	background4.jpeg
013	5	7.483040e+01	1.863725e+00	1	background2.jpeg
013	7	2.607788e+01	1.832497e+00	1	background2.jpeg
013	1	5.750798e+01	1.431951e+00	1	background2.jpeg
013	6	2.512290e+01	2.807618e+00	0	background2.jpeg
013	3	7.538180e+00	1.799582e+00	1	background2.jpeg
013	2	7.752413e+00	1.696460e+00	1	background2.jpeg
013	8	2.395283e+01	1.470653e+00	1	background2.jpeg
013	4	5.038974e+00	1.309580e+00	1	background2.jpeg
013	1	2.635510e+00	1.160333e+00	1	background8.jpg
013	5	1.635732e+01	1.629084e+00	1	background8.jpg
013	7	4.889398e+00	1.599625e+00	1	background8.jpg
013	6	1.230817e+00	1.637379e+00	1	background8.jpg
013	2	7.783580e-01	1.102816e+00	1	background8.jpg
013	8	7.813089e-01	1.737151e+00	1	background8.jpg
013	3	1.777943e+00	1.359575e+00	1	background8.jpg
013	4	1.062431e+00	1.326309e+00	1	background8.jpg
013	6	1.164057e+01	1.518219e+00	1	background10.jpg
013	5	4.869330e+00	1.671781e+00	1	background10.jpg
013	3	1.922975e+00	1.488581e+00	1	background10.jpg
013	4	2.429553e+01	1.614272e+00	1	background10.jpg
013	1	2.598030e+00	1.478619e+00	1	background10.jpg
013	8	1.264920e+00	1.575198e+00	1	background10.jpg
013	7	1.394164e+00	1.400880e+00	1	background10.jpg
013	2	5.749173e+00	1.648348e+00	1	background10.jpg
013	8	1.438048e+01	1.287681e+00	1	background5.jpeg
013	2	4.079047e+01	2.080611e+00	1	background5.jpeg
013	5	2.967791e+00	1.934124e+00	1	background5.jpeg
013	7	3.708542e+01	1.750344e+00	1	background5.jpeg
013	6	1.283479e+01	1.608490e+00	1	background5.jpeg
013	1	1.211164e+01	2.087012e+00	1	background5.jpeg
013	4	4.381017e+01	1.909221e+00	1	background5.jpeg
013	3	2.371908e+00	1.566278e+00	1	background5.jpeg
013	6	7.703720e+00	1.478233e+00	1	background1.jpeg
013	2	1.466392e+00	1.855621e+00	1	background1.jpeg
013	3	1.464958e+00	1.310700e+00	1	background1.jpeg
013	1	4.439123e+00	1.470179e+00	1	background1.jpeg
013	4	2.282553e+00	1.607490e+00	1	background1.jpeg
013	5	2.146624e+00	1.400954e+00	1	background1.jpeg
013	7	1.353459e+00	1.518965e+00	1	background1.jpeg
013	8	1.518782e+00	1.909821e+00	1	background1.jpeg
013	6	4.315116e+01	2.102737e+00	1	background9.jpg
013	3	2.242849e+00	1.807890e+00	1	background9.jpg
013	5	5.169782e+01	1.598830e+00	1	background9.jpg
013	8	2.052222e+00	1.503293e+00	1	background9.jpg
013	2	6.783209e+00	1.557377e+00	1	background9.jpg
013	1	1.482455e+00	1.537289e+00	1	background9.jpg
013	7	1.166926e+01	1.678135e+00	1	background9.jpg
013	4	2.987888e+01	1.670846e+00	1	background9.jpg
013	8	1.593961e+01	1.774953e+00	1	background6.png
013	3	3.274998e+00	1.376001e+00	1	background6.png
013	4	4.522575e+00	1.408752e+00	1	background6.png
013	1	3.334060e+00	1.344853e+00	1	background6.png
013	2	6.816065e+00	1.461556e+00	1	background6.png
013	7	5.293303e+00	1.504780e+00	1	background6.png
013	5	4.796634e+00	1.478304e+00	1	background6.png
013	6	2.313701e+00	1.279226e+00	1	background6.png
013	4	3.207882e+01	1.734127e+00	1	background7.png
013	5	2.304413e+00	1.190205e+00	1	background7.png
013	6	1.930927e+00	1.799854e+00	1	background7.png
013	1	2.055904e+00	1.542609e+00	1	background7.png
013	2	1.119051e+00	1.254058e+00	1	background7.png
013	7	2.772625e+00	1.216404e+00	1	background7.png
013	8	3.952955e+00	1.262551e+00	1	background7.png
013	3	1.602964e+00	1.392059e+00	1	background7.png
